"id","date","sport","nom","distance_km","duree_min","denivele_m","vitesse_moy","fc_moy","calories"
"17760141685","2018-12-10 21:28:29","Course","2018-12-10-212829","4.85","28.5","5.0","10.21","",""
"17760143432","2018-12-12 20:49:22","Course","2018-12-12-204922","5.66","33.9","4.0","10.01","",""
"17760145343","2018-12-14 21:15:51","Course","2018-12-14-211551","8.47","52.9","6.0","9.62","",""
"17760146354","2018-12-15 22:01:10","Course","2018-12-15-220110","4.84","28.8","4.0","10.1","",""
"17760148271","2018-12-17 21:50:41","Course","2018-12-17-215041","6.05","37.1","4.0","9.79","",""
"17760150234","2018-12-19 18:16:41","Course","2018-12-19-181641","8.9","54.9","7.0","9.72","",""
"17760151187","2018-12-21 11:36:51","Course","2018-12-21-113651","5.01","28.7","3.0","10.47","",""
"17760152824","2018-12-22 16:56:09","Course","2018-12-22-165609","6.45","40.9","5.0","9.46","",""
"17760155050","2018-12-24 14:10:17","Course","2018-12-24-141017","9.3","57.0","8.0","9.8","",""
"17760156263","2019-01-02 15:49:37","Course","2019-01-02-204937","5.02","29.6","4.0","10.19","162.6",""
"17760157640","2019-01-04 16:30:53","Course","2019-01-04-213053","5.04","29.6","4.0","10.23","163.8",""
"17760159863","2019-01-07 17:25:27","Course","2019-01-07-222527","8.1","50.0","6.0","9.72","160.9",""
"17760161147","2019-01-09 14:11:00","Course","2019-01-09-191100","5.08","31.9","4.0","9.56","161.7",""
"17760162562","2019-01-13 16:24:53","Course","2019-01-13-212453","8.11","49.4","4.0","9.84","163.6",""
"17760164735","2019-01-14 15:32:12","Course","2019-01-14-203212","12.18","77.8","8.0","9.39","163.6",""
"17760165929","2019-01-16 16:30:00","Course","2019-01-16-213000","5.1","30.3","4.0","10.1","160.5",""
"17760167398","2019-01-18 11:46:55","Course","2019-01-18-164655","8.09","53.0","4.0","9.16","160.8",""
"17760169675","2019-02-17 14:38:08","Course","2019-02-17-193808","5.4","57.1","4.0","5.67","114.8",""
"17760170863","2019-02-19 14:31:06","Course","2019-02-19-193106","5.06","31.2","5.0","9.72","172.4",""
"17760172084","2019-02-21 15:56:26","Course","2019-02-21-205626","5.06","32.2","4.0","9.42","171.0",""
"17760174325","2019-02-24 08:06:00","Course","2019-02-24-130600","5.1","31.4","3.0","9.76","168.1",""
"17760175553","2019-03-02 06:18:39","Course","2019-03-02-111839","5.08","30.9","3.0","9.88","168.9",""
"17760176579","2019-03-04 13:25:19","Course","2019-03-04-182519","5.33","32.9","4.0","9.71","165.9",""
"17760178276","2019-03-06 15:07:04","Course","2019-03-06-200704","5.06","30.8","4.0","9.85","161.5",""
"17760180295","2019-03-09 10:41:08","Course","2019-03-09-154108","10.09","64.0","6.0","9.47","166.8",""
"17760181235","2019-03-12 16:05:44","Course","2019-03-12-200544","5.07","33.6","4.0","9.06","158.4",""
"17760183629","2019-03-14 16:19:00","Course","2019-03-14-201900","5.07","31.2","4.0","9.74","162.2",""
"17760184930","2019-03-18 09:07:21","Course","2019-03-18-130721","5.03","30.1","4.0","10.01","165.2",""
"17760185924","2019-03-20 15:57:01","Course","2019-03-20-195701","7.08","45.0","5.0","9.44","164.4",""
"17760188010","2019-03-22 15:48:32","Course","2019-03-22-194832","7.03","44.5","5.0","9.48","167.0",""
"17760189943","2019-03-25 16:24:37","Course","2019-03-25-202437","5.07","30.4","4.0","10.0","161.2",""
"17760190988","2019-03-27 17:05:04","Course","2019-03-27-210504","7.1","43.6","6.0","9.76","160.4",""
"17760193032","2019-03-29 15:56:58","Course","2019-03-29-195658","3.89","23.2","0.0","10.05","156.0",""
"17760195056","2019-03-31 14:58:58","Course","2019-03-31-185858","7.12","44.0","5.0","9.7","160.5",""
"17760196085","2019-04-05 15:30:25","Course","2019-04-05-193025","7.1","43.3","6.0","9.84","168.9",""
"17760197967","2019-04-06 13:22:07","Course","2019-04-06-172207","5.05","31.8","0.0","9.53","163.8",""
"17760200292","2019-04-07 08:35:23","Vélo","2019-04-07-123523","10.87","83.5","13.0","7.81","136.6","278.3"
"17760201156","2019-04-16 11:32:14","Course","2019-04-16-113214","9.1","135.4","66.0","4.03","",""
"17760202978","2019-04-21 09:24:21","Vélo","2019-04-21-132421","11.09","45.7","20.0","14.57","123.7","169.8"
"17760204910","2019-04-24 15:33:47","Course","2019-04-24-193347","4.47","27.9","3.0","9.62","164.6",""
"17760205938","2019-04-29 17:43:45","Course","2019-04-29-214345","3.7","24.2","0.0","9.17","161.2",""
"17760207392","2019-04-29 18:10:24","Course","2019-04-29-221024","1.11","7.7","0.0","8.69","174.6",""
"17760209575","2019-05-04 15:23:02","Course","2019-05-04-192302","5.07","32.4","4.0","9.38","166.4",""
"17760210786","2019-05-06 16:33:15","Course","2019-05-06-203315","5.05","32.2","4.0","9.41","167.3",""
"17760212245","2019-05-08 16:14:44","Course","2019-05-08-201444","7.07","48.6","5.0","8.73","166.5",""
"17760214308","2019-05-11 13:23:21","Vélo","2019-05-11-172321","17.53","38.6","9.0","27.27","152.2","301.5"
